P1_Pos, P1_Cash, P1_Props, P2_Pos, P2_Cash, P2_Props
================================================== Simulated Game #0 ==================================================
14, 140, [5, 7, 6, 9, 13, 0, 3, 4, 11], 19, 1156, [19]
14, 140, [5, 7, 6, 9, 13, 0, 3, 4, 11], 3, 1150, [19]
17, 140, [5, 7, 6, 9, 13, 0, 3, 4, 11], 3, 1150, [19]
17, 140, [5, 7, 6, 9, 13, 0, 3, 4, 11], 5, 1130, [19]
19, 112, [5, 7, 6, 9, 13, 0, 3, 4, 11], 5, 1130, [19]
19, 112, [5, 7, 6, 9, 13, 0, 3, 4, 11], 10, 1130, [19]
0, 112, [5, 7, 6, 9, 13, 0, 3, 4, 11], 10, 1130, [19]
0, 112, [5, 7, 6, 9, 13, 0, 3, 4, 11], 12, 910, [19, 12]
4, 112, [5, 7, 6, 9, 13, 0, 3, 4, 11], 12, 910, [19, 12]
4, 112, [5, 7, 6, 9, 13, 0, 3, 4, 11], 17, 610, [19, 12, 17]
8, 112, [5, 7, 6, 9, 13, 0, 3, 4, 11], 17, 610, [19, 12, 17]
8, 112, [5, 7, 6, 9, 13, 0, 3, 4, 11], 21, 210, [19, 12, 17, 21]
9, 112, [5, 7, 6, 9, 13, 0, 3, 4, 11], 21, 210, [19, 12, 17, 21]
9, 112, [5, 7, 6, 9, 13, 0, 3, 4, 11], 3, 204, [19, 12, 17, 21]
13, 112, [5, 7, 6, 9, 13, 0, 3, 4, 11], 3, 204, [19, 12, 17, 21]
13, 112, [5, 7, 6, 9, 13, 0, 3, 4, 11], 8, 24, [19, 12, 17, 21, 8]
19, 84, [5, 7, 6, 9, 13, 0, 3, 4, 11], 8, 24, [19, 12, 17, 21, 8]
19, 84, [5, 7, 6, 9, 13, 0, 3, 4, 11], 10, 24, [19, 12, 17, 21, 8]
3, 84, [5, 7, 6, 9, 13, 0, 3, 4, 11], 10, 24, [19, 12, 17, 21, 8]
3, 84, [5, 7, 6, 9, 13, 0, 3, 4, 11], 12, 24, [19, 12, 17, 21, 8]
10, 84, [5, 7, 6, 9, 13, 0, 3, 4, 11], 12, 24, [19, 12, 17, 21, 8]
10, 84, [5, 7, 6, 9, 13, 0, 3, 4, 11], 17, 24, [19, 12, 17, 21, 8]
11, 84, [5, 7, 6, 9, 13, 0, 3, 4, 11], 17, 24, [19, 12, 17, 21, 8]
11, 84, [5, 7, 6, 9, 13, 0, 3, 4, 11], 18, 24, [19, 12, 17, 21, 8]
15, 84, [5, 7, 6, 9, 13, 0, 3, 4, 11], 18, 24, [19, 12, 17, 21, 8]
15, 84, [5, 7, 6, 9, 13, 0, 3, 4, 11], 0, 22, [19, 12, 17, 21, 8]
17, 58, [5, 7, 6, 9, 13, 0, 3, 4, 11], 0, 22, [19, 12, 17, 21, 8]
17, 58, [5, 7, 6, 9, 13, 0, 3, 4, 11], 7, -2, [19, 12, 17, 21, 8]
================================================== Simulated Game #5 ==================================================
0, 1500, [], 0, 1500, []
